0,1
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,1
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,3
19,2
20,2
21,2
22,3
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,3
31,2
32,1
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,1
41,2
42,2
43,2
44,2
45,3
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,4
55,2
56,2
57,2
58,2
59,2
60,3
61,2
62,2
63,2
64,1
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,3
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,3
87,2
88,2
89,3
90,3
91,2
92,2
93,2
94,2
95,2
96,1
97,2
98,2
99,2
100,2
101,3
102,3
103,2
104,2
105,3
106,4
107,2
108,2
109,2
110,4
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,4
121,2
122,3
123,2
124,4
125,2
126,3
127,2
128,1
129,3
130,2
131,2
132,2
133,2
134,2
135,3
136,1
137,4
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,3
147,4
148,2
149,3
150,3
151,3
152,2
153,3
154,2
155,2
156,2
157,2
158,2
159,2
160,1
161,3
162,2
163,2
164,2
165,3
166,2
167,2
168,1
169,4
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,3
183,3
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,1
193,4
194,2
195,3
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,1
225,4
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,1
235,1
236,2
237,2
238,1
239,1
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
